key,spec,probe
FSProbe_Test_WithDG_F2_R27C14,[1140~860],Test Probe 6
FSProbe_Test_WithDG_F2_R31C05,[1110.71~927.29],Test Probe 8
FSProbe_Test_WithDG_F2_R31C06,[1202.27~1003.73],Test Probe 8
FSProbe_Test_WithDG_F2_R31C07,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F2_R31C08,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F2_R31C09,[1098.72~917.28],Test Probe 8
FSProbe_Test_WithDG_F2_R32C01,[1140~860],Test Probe 5
FSProbe_Test_WithDG_F2_R32C05,[1113.98~930.02],Test Probe 8
FSProbe_Test_WithDG_F2_R32C06,[1151.04~960.96],Test Probe 8
FSProbe_Test_WithDG_F2_R32C07,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F2_R32C08,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F2_R32C09,[1120.52~935.48],Test Probe 8
FSProbe_Test_WithDG_F2_RXCM_R00,[256.2217~184.1049],Test Probe 7
FSProbe_Test_WithDG_F2_RXCM_R04,[184.9874~72.1733],Test Probe 4
FSProbe_Test_WithDG_F2_RXCM_R08,[215.5463~169.8969],Test Probe 3
FSProbe_Test_WithDG_F2_RXCM_R16,[215.1758~177.9493],Test Probe 2
FSProbe_Test_WithDG_F2_RXCM_R24,[217.6296~172.0631],Test Probe 1
FSProbe_Test_WithDG_F2_RXCM_R27,[180.7653~99.8298],Test Probe 6
FSProbe_Test_WithDG_F2_RXCM_R31,[458.5466~321.2975],Test Probe 8
FSProbe_Test_WithDG_F2_RXCM_R32,[544.1996~390.6926],"Test Probe 5,8"
FSProbe_Test_WithDG_F3_R00C09,[1140~860],Test Probe 7
FSProbe_Test_WithDG_F3_R04C00,[1140~860],Test Probe 4
FSProbe_Test_WithDG_F3_R08C11,[1090~910],Test Probe 3
FSProbe_Test_WithDG_F3_R16C07,[1090~910],Test Probe 2
FSProbe_Test_WithDG_F3_R24C03,[1090~910],Test Probe 1
FSProbe_Test_WithDG_F3_R27C14,[1140~860],Test Probe 6
FSProbe_Test_WithDG_F3_R31C05,[1110.71~927.29],Test Probe 8
FSProbe_Test_WithDG_F3_R31C06,[1202.27~1003.73],Test Probe 8
FSProbe_Test_WithDG_F3_R31C07,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F3_R31C08,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F3_R31C09,[1098.72~917.28],Test Probe 8
FSProbe_Test_WithDG_F3_R32C01,[1140~860],Test Probe 5
FSProbe_Test_WithDG_F3_R32C05,[1113.98~930.02],Test Probe 8
FSProbe_Test_WithDG_F3_R32C06,[1151.04~960.96],Test Probe 8
FSProbe_Test_WithDG_F3_R32C07,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F3_R32C08,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F3_R32C09,[1120.52~935.48],Test Probe 8
FSProbe_Test_WithDG_F3_RXCM_R00,[256.0659~184.0552],Test Probe 7
FSProbe_Test_WithDG_F3_RXCM_R04,[184.8854~72.2338],Test Probe 4
FSProbe_Test_WithDG_F3_RXCM_R08,[217.2482~169.5764],Test Probe 3
FSProbe_Test_WithDG_F3_RXCM_R16,[213.1471~177.4965],Test Probe 2
FSProbe_Test_WithDG_F3_RXCM_R24,[217.4902~171.8143],Test Probe 1
FSProbe_Test_WithDG_F3_RXCM_R27,[181.0084~99.9418],Test Probe 6
FSProbe_Test_WithDG_F3_RXCM_R31,[463.3296~320.7851],Test Probe 8
FSProbe_Test_WithDG_F3_RXCM_R32,[544.8164~390.4497],"Test Probe 5,8"
FSProbe_Test_WithDG_F4_R00C09,[1140~860],Test Probe 7
FSProbe_Test_WithDG_F4_R04C00,[1140~860],Test Probe 4
FSProbe_Test_WithDG_F4_R08C11,[1090~910],Test Probe 3
FSProbe_Test_WithDG_F4_R16C07,[1090~910],Test Probe 2
FSProbe_Test_WithDG_F4_R24C03,[1090~910],Test Probe 1
FSProbe_Test_WithDG_F4_R27C14,[1140~860],Test Probe 6
FSProbe_Test_WithDG_F4_R31C05,[1110.71~927.29],Test Probe 8
FSProbe_Test_WithDG_F4_R31C06,[1202.27~1003.73],Test Probe 8
FSProbe_Test_WithDG_F4_R31C07,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F4_R31C08,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F4_R31C09,[1098.72~917.28],Test Probe 8
FSProbe_Test_WithDG_F4_R32C01,[1140~860],Test Probe 5
FSProbe_Test_WithDG_F4_R32C05,[1113.98~930.02],Test Probe 8
FSProbe_Test_WithDG_F4_R32C06,[1151.04~960.96],Test Probe 8
FSProbe_Test_WithDG_F4_R32C07,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F4_R32C08,[1090~910],Test Probe 8
FSProbe_Test_WithDG_F4_R32C09,[1120.52~935.48],Test Probe 8
FSProbe_Test_WithDG_F4_RXCM_R00,[255.8667~184.0535],Test Probe 7
FSProbe_Test_WithDG_F4_RXCM_R04,[184.7357~72.2474],Test Probe 4
FSProbe_Test_WithDG_F4_RXCM_R08,[213.7777~169.4797],Test Probe 3
FSProbe_Test_WithDG_F4_RXCM_R16,[221.3272~167.4814],Test Probe 2
FSProbe_Test_WithDG_F4_RXCM_R24,[217.3121~170.9915],Test Probe 1
FSProbe_Test_WithDG_F4_RXCM_R27,[175.613~101.2607],Test Probe 6
FSProbe_Test_WithDG_F4_RXCM_R31,[463.4045~321.1935],Test Probe 8
FSProbe_Test_WithDG_F4_RXCM_R32,[557.6828~391.5273],"Test Probe 5,8"
FSProbe_Test_WithDGCorrTC_F0_R31C05,[1090~910],Test Probe 8
FSProbe_Test_WithDGCorrTC_F0_R31C06,[1090~910],Test Probe 8
FSProbe_Test_WithDGCorrTC_F0_R31C07,[1090~910],Test Probe 8
FSProbe_Test_WithDGCorrTC_F0_R31C08,[1090~910],Test Probe 8
FSProbe_Test_WithDGCorrTC_F0_R31C09,[1090~910],Test Probe 8
FSProbe_Test_WithDGCorrTC_F0_R32C05,[1090~910],Test Probe 8
FSProbe_Test_WithDGCorrTC_F0_R32C06,[1090~910],Test Probe 8
FSProbe_Test_WithDGCorrTC_F0_R32C07,[1090~910],Test Probe 8
FSProbe_Test_WithDGCorrTC_F0_R32C08,[1090~910],Test Probe 8
FSProbe_Test_WithDGCorrTC_F0_R32C09,[1090~910],Test Probe 8
FSProbe_Test_WithDGCorrTC_F2_R31C05,[1090~910],Test Probe 8
FSProbe_Test_WithDGCorrTC_F2_R31C06,[1090~910],Test Probe 8
