key,spec
B_DefaultResDTX_RXCM_F4_IMGALL_REG14,[2.7135~0]
B_DefaultResDTX_RXCM_F4_IMGUI_REG13,[0.768222~0.000000001]
B_DefaultResDTX_RXCM_F4_IMGUI_REG14,[1.584483~0]
B_DefaultResDTX_SPA_F0_IMGALL_REG15,[0.15075~0.000000001]
B_DefaultResDTX_SPA_F0_IMGALL_REG16,[0.2211~0]
B_DefaultResDTX_SPA_F0_IMGUI_REG15,[0.0603~0.000000001]
B_DefaultResDTX_SPA_F0_IMGUI_REG16,[0.09045~0]
B_DefaultResDTX_SPA_F2_IMGALL_REG15,[0.15075~0.000000001]
B_DefaultResDTX_SPA_F2_IMGALL_REG16,[0.2211~0]
B_DefaultResDTX_SPA_F2_IMGUI_REG15,[0.0603~0.000000001]
B_DefaultResDTX_SPA_F2_IMGUI_REG16,[0.09045~0]
B_DefaultResDTX_SPA_F3_IMGALL_REG15,[0.15075~0.000000001]
B_DefaultResDTX_SPA_F3_IMGALL_REG16,[0.2211~0]
B_DefaultResDTX_SPA_F3_IMGUI_REG15,[0.0603~0.000000001]
B_DefaultResDTX_SPA_F3_IMGUI_REG16,[0.09045~0]
B_DefaultResDTX_SPA_F4_IMGALL_REG15,[0.15075~0.000000001]
B_DefaultResDTX_SPA_F4_IMGALL_REG16,[0.2211~0]
B_DefaultResDTX_SPA_F4_IMGUI_REG15,[0.0603~0.000000001]
B_DefaultResDTX_SPA_F4_IMGUI_REG16,[0.09045~0]
B_ProjCoef_STD_MC_F0_IMG0_S0,[833.5209~0.000000001]
B_ProjCoef_STD_MC_F0_IMG0_S1,[37.57635~0.000000001]
B_ProjCoef_STD_MC_F0_IMG0_S2,[8.65965~0.000000001]
B_ProjCoef_STD_MC_F0_IMG0_S3,[9.32415~0.000000001]
B_ProjCoef_STD_MC_F0_IMG3_S0,[43.6462~0.000000001]
B_ProjCoef_STD_MC_F0_IMG3_S1,[3.78525~0.000000001]
B_ProjCoef_STD_MC_F0_IMG3_S2,[3.4638~0.000000001]
B_ProjCoef_STD_MC_F0_IMG3_S3,[3.7296~0.000000001]
B_ProjCoef_STD_MC_F0_IMGALL_S0,[346.6494~0.000000001]
B_ProjCoef_STD_MC_F0_IMGALL_S1,[15.2397~0.000000001]
B_ProjCoef_STD_MC_F0_IMGALL_S2,[8.65965~0.000000001]
B_ProjCoef_STD_MC_F0_IMGALL_S3,[9.32415~0.000000001]
B_ProjCoef_STD_MC_F0_IMGUI_S0,[33.3761~0.000000001]
B_ProjCoef_STD_MC_F0_IMGUI_S1,[3.78525~0.000000001]
B_ProjCoef_STD_MC_F0_IMGUI_S2,[3.4638~0.000000001]
B_ProjCoef_STD_MC_F0_IMGUI_S3,[3.7296~0.000000001]
B_ProjCoef_STD_MC_F2_IMG0_S0,[1056.8508~0.000000001]
B_ProjCoef_STD_MC_F2_IMG0_S1,[25.9677~0.000000001]
B_ProjCoef_STD_MC_F2_IMG0_S2,[7.54155~0.000000001]
B_ProjCoef_STD_MC_F2_IMG0_S3,[10.35975~0.000000001]
B_ProjCoef_STD_MC_F2_IMG3_S0,[125.8383~0.000000001]
B_ProjCoef_STD_MC_F2_IMG3_S1,[2.2119~0.000000001]
B_ProjCoef_STD_MC_F2_IMG3_S2,[3.01665~0.000000001]
B_ProjCoef_STD_MC_F2_IMG3_S3,[4.1439~0.000000001]
B_ProjCoef_STD_MC_F2_IMGALL_S0,[471.0859~0.000000001]
B_ProjCoef_STD_MC_F2_IMGALL_S1,[12.6639~0.000000001]
B_ProjCoef_STD_MC_F2_IMGALL_S2,[7.54155~0.000000001]
B_ProjCoef_STD_MC_F2_IMGALL_S3,[10.35975~0.000000001]
B_ProjCoef_STD_MC_F2_IMGUI_S0,[88.7227~0.000000001]
B_ProjCoef_STD_MC_F2_IMGUI_S1,[2.1879~0.000000001]
B_ProjCoef_STD_MC_F2_IMGUI_S2,[3.01665~0.000000001]
B_ProjCoef_STD_MC_F2_IMGUI_S3,[4.1439~0.000000001]
B_ProjCoef_STD_MC_F3_IMG0_S0,[991.8702~0.000000001]
B_ProjCoef_STD_MC_F3_IMG0_S1,[27.68145~0.000000001]
B_ProjCoef_STD_MC_F3_IMG0_S2,[7.98765~0.000000001]
B_ProjCoef_STD_MC_F3_IMG0_S3,[7.87185~0.000000001]
B_ProjCoef_STD_MC_F3_IMG3_S0,[39.6488~0.000000001]
B_ProjCoef_STD_MC_F3_IMG3_S1,[2.268~0.000000001]
B_ProjCoef_STD_MC_F3_IMG3_S2,[3.195~0.000000001]
B_ProjCoef_STD_MC_F3_IMG3_S3,[3.1488~0.000000001]
B_ProjCoef_STD_MC_F3_IMGALL_S0,[421.455~0.000000001]
B_ProjCoef_STD_MC_F3_IMGALL_S1,[11.94675~0.000000001]
B_ProjCoef_STD_MC_F3_IMGALL_S2,[7.98765~0.000000001]
B_ProjCoef_STD_MC_F3_IMGALL_S3,[7.87185~0.000000001]
B_ProjCoef_STD_MC_F3_IMGUI_S0,[77.3891205~0.000000001]
B_ProjCoef_STD_MC_F3_IMGUI_S1,[2.32635~0.000000001]
B_ProjCoef_STD_MC_F3_IMGUI_S2,[3.195~0.000000001]
B_ProjCoef_STD_MC_F3_IMGUI_S3,[3.1488~0.000000001]
B_ProjCoef_STD_MC_F4_IMG0_S0,[815.5728~0.000000001]
B_ProjCoef_STD_MC_F4_IMG0_S1,[25.86~0.000000001]
B_ProjCoef_STD_MC_F4_IMG0_S2,[7.6353~0.000000001]
B_ProjCoef_STD_MC_F4_IMG0_S3,[8.17905~0.000000001]
B_ProjCoef_STD_MC_F4_IMG3_S0,[66.5568~0.000000001]
B_ProjCoef_STD_MC_F4_IMG3_S1,[2.2809~0.000000001]
B_ProjCoef_STD_MC_F4_IMG3_S2,[3.05415~0.000000001]
B_ProjCoef_STD_MC_F4_IMG3_S3,[3.27165~0.000000001]
B_ProjCoef_STD_MC_F4_IMGALL_S0,[398.3696~0.000000001]
B_ProjCoef_STD_MC_F4_IMGALL_S1,[12.933~0.000000001]
B_ProjCoef_STD_MC_F4_IMGALL_S2,[7.6353~0.000000001]
B_ProjCoef_STD_MC_F4_IMGALL_S3,[8.17905~0.000000001]
B_ProjCoef_STD_MC_F4_IMGUI_S0,[106.0302135~0.000000001]
B_ProjCoef_STD_MC_F4_IMGUI_S1,[4.1091~0.000000001]
B_ProjCoef_STD_MC_F4_IMGUI_S2,[3.05415~0.000000001]
B_ProjCoef_STD_MC_F4_IMGUI_S3,[3.6672~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMG0_S0,[139.7884~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMG0_S1,[8.58975~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMG0_S2,[3.5592~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMG0_S3,[3.5592~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMG3_S0,[25.1271~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMG3_S1,[1.26885~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMG3_S2,[1.18635~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMG3_S3,[1.18635~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMGALL_S0,[97.8419~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMGALL_S1,[4.1541~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMGALL_S2,[3.5592~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMGALL_S3,[3.5592~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMGUI_S0,[20.5496~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMGUI_S1,[1.27575~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMGUI_S2,[1.18635~0.000000001]
B_ProjCoef_STD_RXCM_F0_IMGUI_S3,[1.18635~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMG0_S0,[120.2138~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMG0_S1,[2.18895~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMG0_S2,[2.9058~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMG0_S3,[2.9058~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMG3_S0,[58.7179~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMG3_S1,[0.7692~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMG3_S2,[0.96855~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMG3_S3,[0.96855~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMGALL_S0,[122.27~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMGALL_S1,[2.18895~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMGALL_S2,[2.9058~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMGALL_S3,[2.9058~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMGUI_S0,[72.6736~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMGUI_S1,[0.8712~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMGUI_S2,[0.96855~0.000000001]
B_ProjCoef_STD_RXCM_F2_IMGUI_S3,[1.167~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMG0_S0,[141.0337~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMG0_S1,[5.93595~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMG0_S2,[2.5509~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMG0_S3,[2.5509~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMG3_S0,[9.9529~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMG3_S1,[0.90825~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMG3_S2,[0.85035~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMG3_S3,[0.85035~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMGALL_S0,[117.1234~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMGALL_S1,[2.6661~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMGALL_S2,[2.5509~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMGALL_S3,[2.5509~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMGUI_S0,[65.7049~0.000000001]
B_ProjCoef_STD_RXCM_F3_IMGUI_S1,[1.8036~0.000000001]
